day,1,2,3,4,5,6,7,kui,kui_short_ver
2016-09-27,183357,174408.87,158104.98,150020.57,149415.91,142777.94,120539.88,1078625.15,107.86
2016-09-28,182610,177984.97,168206.77,156007.28,155330.38,151013.54,123563.59,1114716.53,111.47
2016-09-29,181451,179848.61,173741.6,169546.28,167224.08,155110.65,128793.8,1155716.02,115.57
2016-09-30,179801,182790.89,176517.71,177704.97,190795.62,171292.15,145301.63,1224203.9699999997,122.42
2016-10-01,178675,181686.08,177873.89,178145.98,189068.77,181638.37,138845.6,1225933.69,122.59
2016-10-02,177819,182974.06,177891.28,179480.03,190385.49,180189.9,141215.53,1229955.29,123.0
2016-10-03,177655,183729.98,179079.39,179744.64,187018.13,175430.64,149796.34,1232454.12,123.25
2016-10-04,177396,184593.48,179577.81,177925.47,184363.09,176299.72,146037.13,1226192.7000000002,122.62
2016-10-05,177757,185131.35,178737.44,178994.92,184514.19,171623.23,145710.24,1222468.37,122.25
2016-10-06,176732,184227.15,178244.81,179766.69,182873.68,170298.91,140316.59,1212459.8299999998,121.25
2016-10-07,176862,184616.74,179554.63,179921.04,184471.02,170754.14,137047.71,1213227.28,121.32
2016-10-08,176691,185878.55,182423.47,179105.17,184708.46,168684.9,138273.54,1215765.09,121.58
2016-10-09,177893,186887.41,182493.02,179237.48,184255.16,167070.88,133043.34,1210880.2900000003,121.09
2016-10-10,177793,185820.4,180928.19,178531.86,173958.81,161773.62,127322.8,1186128.68,118.61
2016-10-11,178206,189472.09,182979.85,179413.88,179096.19,162559.93,130836.84,1202564.78,120.26
2016-10-12,178669,189323.81,183252.24,179116.2,179290.46,159911.3,132226.12,1201789.13,120.18
2016-10-13,178697,190501.31,185118.44,180108.47,179938.03,170091.98,139662.81,1224118.04,122.41
2016-10-14,178428,190001.23,186103.7,185477.77,182031.84,164836.1,133533.67,1220412.3099999998,122.04
2016-10-15,179936,190268.71,186973.04,184849.33,187471.43,168933.21,136475.66,1234907.38,123.49
2016-10-16,183947,193743.05,188137.97,189954.02,188442.78,175637.56,134432.61,1254294.9900000002,125.43
2016-10-17,189154,198618.76,192815.04,189942.99,197940.47,179072.51,144566.13,1292109.9,129.21
2016-10-18,193667,198232.07,193093.24,186922.07,192522.47,174271.86,138518.71,1277227.42,127.72
2016-10-19,198085,198665.27,190467.81,186503.12,190601.35,176920.49,138518.71,1279761.75,127.98
2016-10-20,201937,198729.24,190444.63,185091.88,192306.61,174478.78,140806.92,1283795.0599999998,128.38
2016-10-21,204905,198592.59,191342.95,188399.46,190515.0,177417.11,140234.87,1291406.98,129.14
2016-10-22,206595,198842.63,192258.66,190108.37,195717.15,179113.89,130836.84,1293472.5400000003,129.35
2016-10-23,204570,199665.42,191847.17,191023.47,194141.39,172202.61,140888.64,1294338.7000000002,129.43
2016-10-24,202991,200517.29,193029.48,190747.84,195220.68,179486.36,140480.03,1302472.68,130.25
2016-10-25,201195,201912.84,195162.28,190549.38,198415.35,177706.81,144157.52,1309099.18,130.91
2016-10-26,200526,203654.37,196367.77,193118.26,200509.16,175803.1,154454.49,1324433.1500000001,132.44
