,day,group,usercnt
0,2016-10-11,2,646938
1,2016-08-07,7,13477
2,2016-09-14,1,1646872
3,2016-10-11,3,314190
4,2016-09-14,2,582856
5,2016-08-18,1,1742660
6,2016-10-11,4,161855
7,2016-09-14,3,280347
8,2016-08-18,2,514268
9,2016-10-11,5,81828
10,2016-09-14,4,145870
11,2016-08-18,3,231307
12,2016-10-11,6,38863
13,2016-09-14,5,78536
14,2016-08-18,4,116952
15,2016-10-11,7,16216
16,2016-09-14,6,38349
17,2016-08-18,5,61629
18,2016-09-14,7,16343
19,2016-10-22,1,2060176
20,2016-08-18,6,30999
21,2016-10-22,2,688162
22,2016-08-18,7,13811
23,2016-09-25,1,1857592
24,2016-08-29,1,1709716
25,2016-10-22,3,333197
26,2016-09-25,2,581089
27,2016-08-02,1,1645338
28,2016-08-29,2,520359
29,2016-10-22,4,172598
30,2016-09-25,3,264062
31,2016-08-02,2,482488
32,2016-08-29,3,237131
33,2016-10-22,5,89792
34,2016-09-25,4,132001
35,2016-08-02,3,214646
36,2016-08-29,4,120696
37,2016-10-22,6,42395
38,2016-09-25,5,66675
39,2016-08-02,4,108288
40,2016-08-29,5,63934
41,2016-10-22,7,16705
42,2016-09-25,6,31757
43,2016-08-02,5,58075
44,2016-08-29,6,31514
45,2016-09-25,7,13569
46,2016-08-02,6,29970
47,2016-10-06,1,1773511
48,2016-08-29,7,14142
49,2016-08-02,7,13331
50,2016-09-09,1,1642154
51,2016-10-06,2,635664
52,2016-09-09,2,559175
53,2016-10-06,3,310762
54,2016-08-13,1,1524708
55,2016-09-09,3,266049
56,2016-10-06,4,162099
57,2016-08-13,2,477862
58,2016-09-09,4,136465
59,2016-10-06,5,85910
60,2016-08-13,3,218603
61,2016-09-09,5,72848
62,2016-10-06,6,41543
63,2016-08-13,4,110365
64,2016-09-09,6,35731
65,2016-10-06,7,17027
66,2016-08-13,5,59405
67,2016-09-09,7,15095
68,2016-10-17,1,1891687
69,2016-08-13,6,30084
70,2016-10-17,2,676446
71,2016-09-20,1,1906886
72,2016-08-13,7,13288
73,2016-10-17,3,331919
74,2016-09-20,2,622717
75,2016-08-24,1,1806076
76,2016-10-17,4,173654
