,day,group,usercnt
0,2016-07-11,6,28542
1,2016-06-14,5,74228
2,2016-07-11,7,12607
3,2016-06-14,6,35439
4,2016-07-22,1,1918485
5,2016-06-14,7,14914
6,2016-07-22,2,518964
7,2016-06-25,1,1922516
8,2016-07-22,3,230736
9,2016-06-25,2,599390
10,2016-07-22,4,114739
11,2016-06-25,3,284267
12,2016-07-22,5,60651
13,2016-06-25,4,144914
14,2016-07-22,6,29871
15,2016-06-25,5,75800
16,2016-07-22,7,12780
17,2016-06-25,6,36055
18,2016-06-25,7,14994
19,2016-07-06,1,1658179
20,2016-07-06,2,522066
21,2016-06-09,1,1746387
22,2016-07-06,3,236274
23,2016-06-09,2,599646
24,2016-07-06,4,117916
25,2016-06-09,3,285453
26,2016-07-06,5,61986
27,2016-06-09,4,145977
28,2016-07-06,6,30550
29,2016-06-09,5,75657
30,2016-07-06,7,13436
31,2016-06-09,6,35916
32,2016-06-09,7,15026
33,2016-07-17,1,1683819
34,2016-07-17,2,486537
35,2016-06-20,1,2019043
36,2016-07-17,3,215266
37,2016-06-20,2,629529
38,2016-07-17,4,107395
39,2016-06-20,3,302747
40,2016-07-17,5,55950
41,2016-06-20,4,154717
42,2016-07-17,6,26745
43,2016-06-20,5,80584
44,2016-07-17,7,11575
45,2016-06-20,6,38800
46,2016-07-28,1,1736938
47,2016-06-20,7,16012
48,2016-07-01,1,1745466
49,2016-07-28,2,493675
50,2016-07-01,2,549296
51,2016-07-28,3,218795
52,2016-06-04,1,1790134
53,2016-07-01,3,253783
54,2016-07-28,4,109960
55,2016-06-04,2,597659
56,2016-07-01,4,127924
57,2016-07-28,5,58920
58,2016-06-04,3,285913
59,2016-07-01,5,66341
60,2016-07-28,6,29085
61,2016-06-04,4,146056
62,2016-07-01,6,32136
63,2016-07-28,7,13039
64,2016-06-04,5,76247
65,2016-07-01,7,13655
66,2016-06-04,6,36469
67,2016-07-12,1,1593897
68,2016-06-04,7,14539
69,2016-07-12,2,497167
70,2016-06-15,1,1713681
71,2016-07-12,3,223880
72,2016-06-15,2,593970
73,2016-07-12,4,110230
74,2016-06-15,3,283552
75,2016-07-12,5,57755
76,2016-06-15,4,145660
77,2016-07-12,6,27738
78,2016-06-15,5,74926
79,2016-07-12,7,12345
80,2016-06-15,6,35828
81,2016-07-23,1,1885409
82,2016-06-15,7,15104
83,2016-07-23,2,512965
84,2016-06-26,1,1898472
85,2016-07-23,3,229725
86,2016-06-26,2,594519
87,2016-07-23,4,114581
88,2016-06-26,3,280858
89,2016-07-23,5,60758
90,2016-06-26,4,142622
91,2016-07-23,6,30081
92,2016-06-26,5,73540
93,2016-07-23,7,12795
94,2016-06-26,6,35292
95,2016-06-26,7,14622
96,2016-07-07,1,1645206
97,2016-06-10,1,1716598
98,2016-07-07,2,517072
99,2016-06-10,2,595801
100,2016-07-07,3,234961
101,2016-06-10,3,288100
102,2016-07-07,4,117087
103,2016-06-10,4,148227
104,2016-07-07,5,61638
105,2016-06-10,5,76906
106,2016-07-07,6,30385
107,2016-06-10,6,35748
108,2016-07-07,7,13347
109,2016-07-18,1,1754197
110,2016-06-10,7,15105
111,2016-06-21,1,2065935
112,2016-07-18,2,495333
113,2016-06-21,2,632229
114,2016-07-18,3,219536
115,2016-06-21,3,299663
116,2016-07-18,4,107995
117,2016-06-21,4,153852
118,2016-07-18,5,56588
119,2016-06-21,5,79884
120,2016-07-18,6,26988
121,2016-06-21,6,39125
122,2016-07-18,7,11813
123,2016-07-29,1,1708897
124,2016-06-21,7,16100
125,2016-07-02,1,1722489
126,2016-07-29,2,488376
127,2016-07-02,2,544943
128,2016-07-29,3,218626
129,2016-06-05,1,1788438
130,2016-07-02,3,251951
131,2016-07-29,4,110013
132,2016-06-05,2,597901
133,2016-07-02,4,126363
134,2016-07-29,5,58921
135,2016-06-05,3,286843
136,2016-07-02,5,65942
137,2016-07-29,6,29285
138,2016-06-05,4,146008
139,2016-07-02,6,31531
140,2016-07-29,7,13045
141,2016-06-05,5,76184
142,2016-07-02,7,13232
143,2016-06-05,6,36153
144,2016-06-05,7,14760
145,2016-07-13,1,1579835
146,2016-07-13,2,488105
147,2016-06-16,1,1786727
148,2016-07-13,3,218091
149,2016-06-16,2,600691
150,2016-07-13,4,108025
151,2016-06-16,3,288160
152,2016-07-13,5,56023
153,2016-06-16,4,147896
154,2016-07-13,6,27099
155,2016-06-16,5,75796
156,2016-07-13,7,11953
157,2016-06-16,6,36460
158,2016-07-24,1,1853988
159,2016-06-16,7,14997
160,2016-06-27,1,1870360
161,2016-07-24,2,509951
162,2016-06-27,2,587449
163,2016-07-24,3,227929
164,2016-06-27,3,275332
165,2016-07-24,4,113865
166,2016-06-27,4,138642
167,2016-07-24,5,60155
168,2016-06-27,5,71445
169,2016-07-24,6,29726
170,2016-06-27,6,34587
171,2016-07-24,7,12984
172,2016-06-27,7,14588
173,2016-07-08,1,1630107
174,2016-06-11,1,1701256
175,2016-07-08,2,513724
176,2016-06-11,2,595062
177,2016-07-08,3,234302
178,2016-06-11,3,289287
179,2016-07-08,4,118040
180,2016-06-11,4,149059
181,2016-07-08,5,61802
182,2016-06-11,5,77044
183,2016-07-08,6,30157
184,2016-06-11,6,36121
185,2016-07-08,7,13238
186,2016-06-11,7,14779
187,2016-07-19,1,1819067
188,2016-06-22,1,2067274
189,2016-07-19,2,508067
190,2016-06-22,2,624837
191,2016-07-19,3,222704
192,2016-06-22,3,295093
193,2016-07-19,4,109604
194,2016-06-22,4,151596
195,2016-07-19,5,57293
196,2016-06-22,5,79066
197,2016-07-19,6,27620
198,2016-06-22,6,38255
199,2016-07-19,7,12129
200,2016-07-30,1,1688304
201,2016-06-22,7,15887
202,2016-07-30,2,485419
203,2016-07-03,1,1704957
204,2016-06-06,1,1789447
205,2016-07-30,3,218139
206,2016-07-03,2,541456
207,2016-06-06,2,598314
208,2016-07-30,4,109965
209,2016-07-03,3,248392
210,2016-06-06,3,285683
211,2016-07-30,5,59128
212,2016-07-03,4,124667
213,2016-06-06,4,145012
214,2016-07-30,6,29605
215,2016-07-03,5,64872
216,2016-06-06,5,75150
217,2016-07-30,7,12885
218,2016-07-03,6,31156
219,2016-06-06,6,35654
220,2016-07-03,7,13244
221,2016-07-14,1,1569859
222,2016-06-06,7,14873
223,2016-07-14,2,478414
224,2016-06-17,1,1849733
225,2016-07-14,3,214064
226,2016-06-17,2,607998
227,2016-07-14,4,107115
228,2016-06-17,3,292036
229,2016-07-14,5,54971
230,2016-06-17,4,150200
231,2016-07-14,6,26497
232,2016-06-17,5,77015
233,2016-07-14,7,11895
234,2016-06-17,6,36410
235,2016-06-17,7,14935
236,2016-07-25,1,1819362
237,2016-06-28,1,1838135
238,2016-07-25,2,506817
239,2016-06-28,2,578386
240,2016-07-25,3,225688
241,2016-06-01,1,1799487
242,2016-06-28,3,269251
243,2016-07-25,4,112417
244,2016-06-01,2,599450
245,2016-06-28,4,134124
246,2016-07-25,5,59338
247,2016-06-01,3,286305
248,2016-06-28,5,69948
249,2016-07-25,6,29518
250,2016-06-01,4,146106
251,2016-06-28,6,33833
252,2016-07-25,7,13018
253,2016-06-01,5,75727
254,2016-06-28,7,14467
255,2016-06-01,6,36192
256,2016-07-09,1,1620204
257,2016-06-01,7,14862
258,2016-07-09,2,511419
259,2016-06-12,1,1688348
260,2016-07-09,3,233809
261,2016-06-12,2,594372
262,2016-07-09,4,117864
263,2016-06-12,3,288539
264,2016-07-09,5,61632
265,2016-06-12,4,148351
266,2016-07-09,6,29970
267,2016-06-12,5,76175
268,2016-07-09,7,12890
269,2016-06-12,6,35465
270,2016-06-12,7,14667
271,2016-07-20,1,1875427
272,2016-06-23,1,2014269
273,2016-07-20,2,516851
274,2016-06-23,2,614372
275,2016-07-20,3,226398
276,2016-06-23,3,291050
277,2016-07-20,4,111307
278,2016-06-23,4,149931
279,2016-07-20,5,58119
280,2016-06-23,5,78122
281,2016-07-20,6,28496
282,2016-06-23,6,37474
283,2016-07-20,7,12420
284,2016-06-23,7,15920
285,2016-07-31,1,1672060
286,2016-07-04,1,1688810
287,2016-07-31,2,483592
288,2016-07-04,2,532811
289,2016-07-31,3,217539
290,2016-06-07,1,1785829
291,2016-07-04,3,244837
292,2016-07-31,4,109917
293,2016-06-07,2,600065
294,2016-07-04,4,121850
295,2016-07-31,5,58910
296,2016-06-07,3,284106
297,2016-07-04,5,63440
298,2016-07-31,6,29540
299,2016-06-07,4,143301
300,2016-07-04,6,31031
301,2016-07-31,7,13030
302,2016-06-07,5,74849
303,2016-07-04,7,13417
304,2016-06-07,6,35488
305,2016-07-15,1,1581572
306,2016-06-07,7,15022
307,2016-07-15,2,474358
308,2016-06-18,1,1905106
309,2016-07-15,3,212188
310,2016-06-18,2,615114
311,2016-07-15,4,105721
312,2016-06-18,3,295341
313,2016-07-15,5,55077
314,2016-06-18,4,152346
315,2016-07-15,6,26355
316,2016-06-18,5,77791
317,2016-07-15,7,11730
318,2016-06-18,6,36685
319,2016-07-26,1,1790135
320,2016-06-18,7,14733
321,2016-06-29,1,1811359
322,2016-07-26,2,503778
323,2016-06-29,2,569635
324,2016-07-26,3,223227
325,2016-06-02,1,1801489
326,2016-06-29,3,262860
327,2016-07-26,4,110629
328,2016-06-02,2,598304
329,2016-06-29,4,132340
330,2016-07-26,5,59009
331,2016-06-02,3,285628
332,2016-06-29,5,68098
333,2016-07-26,6,29314
334,2016-06-02,4,146127
335,2016-06-29,6,33514
336,2016-07-26,7,13177
337,2016-06-02,5,75913
338,2016-06-29,7,14286
