"dvc_id","shop_no","ct_cd"
"OPUD002F1F70-FD40-48AA-A1F3-D3DCFFAEF1DA","10648720","CHICKEN"
"OPUD002F1F70-FD40-48AA-A1F3-D3DCFFAEF1DA","10648720","CHICKEN"
"OPUD002F1F70-FD40-48AA-A1F3-D3DCFFAEF1DA","10855471","CHICKEN"
"OPUD002F1F70-FD40-48AA-A1F3-D3DCFFAEF1DA","10782536","CHICKEN"
"OPUD002F1F70-FD40-48AA-A1F3-D3DCFFAEF1DA","10855471","CHICKEN"
"OPUD002F1F70-FD40-48AA-A1F3-D3DCFFAEF1DA","10462867","CHICKEN"
"OPUD002F1F70-FD40-48AA-A1F3-D3DCFFAEF1DA","10855471","CHICKEN"
"OPUD0EEC2909-5617-4490-A525-81D9D3E3C938","10868629","DOSIRAK"
"OPUD0EEC2909-5617-4490-A525-81D9D3E3C938","10639886","DOSIRAK"
"OPUD0EEC2909-5617-4490-A525-81D9D3E3C938","10639886","DOSIRAK"
"OPUD0EEC2909-5617-4490-A525-81D9D3E3C938","10641770","DOSIRAK"
"OPUD1157EEF6-E717-4C0D-B552-2C3CE75B4AFE","10812856","KOREAN"
"OPUD1157EEF6-E717-4C0D-B552-2C3CE75B4AFE","10847366","JAPANESE"
"OPUD1157EEF6-E717-4C0D-B552-2C3CE75B4AFE","10895171","JAPANESE"
"OPUD1157EEF6-E717-4C0D-B552-2C3CE75B4AFE","10874269","SNACK"
"OPUD1157EEF6-E717-4C0D-B552-2C3CE75B4AFE","10891617","SNACK"
"OPUD1157EEF6-E717-4C0D-B552-2C3CE75B4AFE","10847366","JAPANESE"
"OPUD173138e06d585dff","10905173","CAFE"
"OPUD173138e06d585dff","10905173","CAFE"
"OPUD173138e06d585dff","10694237","CAFE"
"OPUD173138e06d585dff","10905173","CAFE"
"OPUD1934F0A1-A6EF-43AB-842F-24E97DB982BC","10877683","KOREAN"
"OPUD1934F0A1-A6EF-43AB-842F-24E97DB982BC","10877683","KOREAN"
"OPUD1934F0A1-A6EF-43AB-842F-24E97DB982BC","10877683","KOREAN"
"OPUD1b8de282361ea357","10908118","SNACK"
"OPUD1b8de282361ea357","10802377","SNACK"
"OPUD1b8de282361ea357","10908118","SNACK"
"OPUD1c3fb3d0344e25bd","10907337","KOREAN"
"OPUD1c3fb3d0344e25bd","10879842","KOREAN"
"OPUD1c3fb3d0344e25bd","10741324","KOREAN"
"OPUD1c3fb3d0344e25bd","10555033","KOREAN"
"OPUD1c3fb3d0344e25bd","10904915","JAPANESE"
"OPUD1c3fb3d0344e25bd","10887560","KOREAN"
"OPUD1c3fb3d0344e25bd","10909116","KOREAN"
"OPUD1c3fb3d0344e25bd","10777909","JAPANESE"
"OPUD1c3fb3d0344e25bd","10867782","KOREAN"
"OPUD1c3fb3d0344e25bd","10887560","KOREAN"
"OPUD24051CEE-75A7-45A9-8E9F-413095E98D5D","10830333","SNACK"
"OPUD24051CEE-75A7-45A9-8E9F-413095E98D5D","10849779","SNACK"
"OPUD24051CEE-75A7-45A9-8E9F-413095E98D5D","10704077","CHICKEN"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10590674","KOREAN"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10885673","FASTFOOD"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10681517","FASTFOOD"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10714569","KOREAN"
"OPUD2a3a22d94e51ab95","10696806","KOREAN"
"OPUD2a3a22d94e51ab95","10890866","KOREAN"
"OPUD2a3a22d94e51ab95","10746882","JAPANESE"
"OPUD2e666d1cb7f9621a","10483351","KOREAN"
"OPUD2e666d1cb7f9621a","10898070","KOREAN"
"OPUD2fa1b46287d717da","10651412","FASTFOOD"
"OPUD30e33eea81730c6f","10664233","CHINESE"
"OPUD3156de56cb217c2a","10891039","DOSIRAK"
"OPUD3156de56cb217c2a","10895046","DOSIRAK"
"OPUD3156de56cb217c2a","10657950","DOSIRAK"
"OPUD335B03A2-BEBF-4523-B3BF-41FB4C8387D9","10656570","ZZIM_TANG"
"OPUD335B03A2-BEBF-4523-B3BF-41FB4C8387D9","10909955","SNACK"
"OPUD335B03A2-BEBF-4523-B3BF-41FB4C8387D9","10903468","ZZIM_TANG"
"OPUD335B03A2-BEBF-4523-B3BF-41FB4C8387D9","10656570","ZZIM_TANG"
"OPUD335B03A2-BEBF-4523-B3BF-41FB4C8387D9","10903468","ZZIM_TANG"
"OPUD34d00248cb083571","10686011","CHINESE"
"OPUD34d00248cb083571","10686011","CHINESE"
"OPUD34d00248cb083571","10905718","CHICKEN"
"OPUD34d00248cb083571","10785076","SNACK"
"OPUD34d00248cb083571","10512757","CHICKEN"
"OPUD34d00248cb083571","10751124","FASTFOOD"
"OPUD34d00248cb083571","10686011","CHINESE"
"OPUD3A7AF06C-D371-425C-A564-8EF27F3DE146","10676689","KOREAN"
"OPUD3c145aa291d72506","10078257","PIZZA"
"OPUD3c145aa291d72506","10718696","CHICKEN"
"OPUD3c145aa291d72506","10883571","CHICKEN"
"OPUD3c145aa291d72506","10832677","CHICKEN"
"OPUD3c145aa291d72506","10814750","CHICKEN"
"OPUD3c145aa291d72506","10648373","PIZZA"
"OPUD3c145aa291d72506","10777112","CHICKEN"
"OPUD3c145aa291d72506","10742470","PIZZA"
"OPUD3c145aa291d72506","10420612","CHICKEN"
"OPUD3c145aa291d72506","10850383","CHICKEN"
"OPUD3c145aa291d72506","10702506","PIZZA"
"OPUD3c145aa291d72506","10873018","CHICKEN"
"OPUD3c145aa291d72506","10611748","CHICKEN"
"OPUD3c145aa291d72506","10066922","CHICKEN"
"OPUD3c145aa291d72506","10718696","CHICKEN"
"OPUD3c145aa291d72506","10078257","PIZZA"
"OPUD3c145aa291d72506","10910192","CHICKEN"
"OPUD3c145aa291d72506","10702606","PIZZA"
"OPUD3c145aa291d72506","10910192","CHICKEN"
"OPUD3c145aa291d72506","10795137","PIZZA"
"OPUD3c145aa291d72506","10883577","PIZZA"
"OPUD45A976C0-5D6F-4302-98E3-D2C336B25238","10508190","ZZIM_TANG"
"OPUD45A976C0-5D6F-4302-98E3-D2C336B25238","10818604","ZZIM_TANG"
"OPUD45A976C0-5D6F-4302-98E3-D2C336B25238","10508190","ZZIM_TANG"
"OPUD45A976C0-5D6F-4302-98E3-D2C336B25238","10854421","KOREAN"
"OPUD45A976C0-5D6F-4302-98E3-D2C336B25238","10508190","ZZIM_TANG"
"OPUD478a74ac614b5893","10800714","KOREAN"
"OPUD478a74ac614b5893","10680973","KOREAN"
"OPUD478a74ac614b5893","10766127","KOREAN"
"OPUD478a74ac614b5893","10847067","KOREAN"
"OPUD478a74ac614b5893","10766127","KOREAN"
"OPUD478a74ac614b5893","10748535","KOREAN"
