,shop_no,rgn2_nm,reg_dt,ord_cnt,rvw_count,star_pnt_mean,fav_count,imps_cnt,clk_cnt,ctr,ord_price_sum,ppo,ord_cncl_cnt,ord_cncl_rate,reord_dvc_cnt,reord_rate
0,36235,관악구,2010-02-28,15.0,1.0,5.0,,296.0,6.0,2.027,458000.0,30533.0,0.0,0.0,0.0,0.0
1,39647,성남시 분당구,2010-05-20,,,,,,,,,,,,,
2,459193,관악구,2013-01-30,61.0,1.0,5.0,6.0,6938.0,156.0,2.248,1009200.0,16544.0,1.0,0.016,5.0,0.082
3,522695,강서구,2014-07-22,62.0,4.0,5.0,4.0,1739.0,27.0,1.553,1101000.0,17758.0,1.0,0.016,0.0,0.0
4,563770,송파구,2015-05-13,75.0,2.0,5.0,5.0,602.0,13.0,2.159,894000.0,11920.0,0.0,0.0,3.0,0.04
5,563771,송파구,2015-05-13,95.0,2.0,5.0,6.0,3126.0,49.0,1.567,2700500.0,28426.0,1.0,0.011,3.0,0.032
6,565209,송파구,2015-05-22,24.0,,,2.0,,,,301800.0,12575.0,3.0,0.125,1.0,0.042
7,565434,송파구,2015-05-27,6.0,,,1.0,513.0,13.0,2.534,118000.0,19666.0,0.0,0.0,0.0,0.0
8,566297,송파구,2015-06-01,10.0,,,3.0,498.0,8.0,1.606,413000.0,41300.0,0.0,0.0,0.0,0.0
9,566306,송파구,2015-06-01,17.0,,,3.0,432.0,21.0,4.861,869400.0,51141.0,0.0,0.0,0.0,0.0
10,567009,송파구,2015-06-05,58.0,1.0,5.0,7.0,1987.0,65.0,3.271,1549500.0,26715.0,0.0,0.0,1.0,0.017
11,567365,송파구,2015-06-08,12.0,1.0,4.0,2.0,129.0,15.0,11.628,462000.0,38500.0,0.0,0.0,1.0,0.083
12,567996,송파구,2015-06-12,29.0,2.0,4.0,3.0,580.0,26.0,4.483,665000.0,22931.0,0.0,0.0,0.0,0.0
13,568961,송파구,2015-06-18,29.0,,,4.0,85.0,2.0,2.353,981100.0,33831.0,9.0,0.31,1.0,0.034
14,569195,송파구,2015-06-19,6.0,,,2.0,2753.0,91.0,3.305,167000.0,27833.0,0.0,0.0,0.0,0.0
15,571280,송파구,2015-07-03,19.0,,,3.0,1290.0,15.0,1.163,434000.0,22842.0,0.0,0.0,1.0,0.053
16,571725,강남구,2015-07-08,19.0,,,4.0,213.0,12.0,5.634,337200.0,17747.0,4.0,0.211,5.0,0.263
17,572686,송파구,2015-07-16,4.0,,,1.0,,,,,,,,,
18,573348,송파구,2015-07-21,21.0,,,5.0,2259.0,45.0,1.992,935000.0,44523.0,1.0,0.048,0.0,0.0
19,573942,송파구,2015-07-28,8.0,,,3.0,24.0,0.0,0.0,143000.0,17875.0,0.0,0.0,0.0,0.0
20,573948,송파구,2015-07-28,6.0,,,,822.0,20.0,2.433,109000.0,18166.0,0.0,0.0,0.0,0.0
21,574777,송파구,2015-08-03,90.0,4.0,2.0,17.0,4761.0,140.0,2.941,1487800.0,16531.0,1.0,0.011,3.0,0.033
22,574848,강남구,2015-08-04,166.0,6.0,3.8333333333333335,21.0,2215.0,73.0,3.296,2448500.0,14750.0,0.0,0.0,21.0,0.127
23,574860,강남구,2015-08-04,4.0,,,1.0,23.0,1.0,4.348,,,,,,
24,574904,강남구,2015-08-04,22.0,,,4.0,224.0,13.0,5.804,301000.0,13681.0,0.0,0.0,1.0,0.045
25,574917,강남구,2015-08-04,9.0,,,1.0,38.0,2.0,5.263,109000.0,12111.0,0.0,0.0,1.0,0.111
26,575090,강남구,2015-08-05,20.0,1.0,1.0,6.0,485.0,12.0,2.474,414000.0,20700.0,1.0,0.05,0.0,0.0
