"log_dt","shop_no","count_sum","viewcount_sum"
"2018-04-01","703463","130.0","120.0"
"2018-04-01","669093","147.0","208.0"
"2018-04-01","612470","248.0","121.0"
"2018-04-01","752255","185.0","136.0"
"2018-04-01","627854","47.0","37.0"
"2018-04-01","719937","120.0","104.0"
"2018-04-01","631584","6.0","5.0"
"2018-04-01","566297","72.0","72.0"
"2018-04-01","752519","64.0","29.0"
"2018-04-02","716832","149.0","101.0"
"2018-04-02","724484","47.0","22.0"
"2018-04-02","737910","116.0","102.0"
"2018-04-02","743606","95.0","53.0"
"2018-04-02","713503","21.0","26.0"
"2018-04-02","646554","24.0","14.0"
"2018-04-02","737335","184.0","126.0"
"2018-04-02","624859","28.0","12.0"
"2018-04-02","656685","42.0","27.0"
"2018-04-02","727212","9.0","13.0"
"2018-04-02","719937","59.0","54.0"
"2018-04-02","740635","4.0","6.0"
"2018-04-03","734909","2.0","3.0"
"2018-04-03","746554","330.0","205.0"
"2018-04-03","736825","98.0","36.0"
"2018-04-03","702080","195.0","161.0"
"2018-04-03","745141","7.0","13.0"
"2018-04-03","632869","21.0","36.0"
"2018-04-03","742423","89.0","36.0"
"2018-04-04","745034","86.0","37.0"
"2018-04-04","618091","7.0","6.0"
"2018-04-04","736938","56.0","39.0"
"2018-04-04","726226","140.0","71.0"
"2018-04-04","695755","187.0","100.0"
"2018-04-04","694101","260.0","156.0"
"2018-04-04","738214","65.0","21.0"
"2018-04-04","743691","229.0","157.0"
"2018-04-04","708099","14.0","10.0"
"2018-04-04","737261","71.0","41.0"
"2018-04-04","669928","5.0","null"
"2018-04-05","744860","35.0","41.0"
"2018-04-05","719376","332.0","189.0"
"2018-04-05","677748","39.0","52.0"
"2018-04-05","718068","88.0","93.0"
"2018-04-05","610124","37.0","22.0"
"2018-04-05","734344","91.0","50.0"
"2018-04-05","635736","30.0","24.0"
"2018-04-05","743739","123.0","111.0"
"2018-04-05","727224","27.0","24.0"
"2018-04-05","729235","50.0","50.0"
"2018-04-05","743222","271.0","106.0"
"2018-04-05","741858","63.0","76.0"
"2018-04-05","743435","5.0","8.0"
"2018-04-06","640845","152.0","133.0"
"2018-04-06","689277","309.0","167.0"
"2018-04-06","743797","100.0","81.0"
"2018-04-06","672431","83.0","60.0"
"2018-04-06","741585","134.0","64.0"
"2018-04-06","710867","159.0","66.0"
"2018-04-06","717088","49.0","13.0"
"2018-04-06","695313","28.0","13.0"
"2018-04-06","595665","null","13.0"
"2018-04-06","744982","65.0","49.0"
"2018-04-06","675548","119.0","82.0"
"2018-04-07","693243","4.0","9.0"
"2018-04-07","615301","140.0","104.0"
"2018-04-07","737910","144.0","179.0"
"2018-04-07","718802","141.0","93.0"
"2018-04-07","736495","256.0","181.0"
"2018-04-07","653579","83.0","64.0"
"2018-04-07","750116","230.0","159.0"
"2018-04-07","725680","17.0","8.0"
"2018-04-07","737705","14.0","null"
"2018-04-07","750143","451.0","192.0"
"2018-04-07","657926","40.0","37.0"
"2018-04-07","655270","59.0","47.0"
"2018-04-07","733551","166.0","83.0"
"2018-04-07","732260","53.0","53.0"
"2018-04-07","722379","100.0","39.0"
"2018-04-03","682731","2.0","1.0"
"2018-04-02","741212","2.0","null"
"2018-04-01","665352","67.0","34.0"
"2018-04-01","669559","10.0","27.0"
"2018-04-01","609052","25.0","30.0"
"2018-04-01","678772","85.0","107.0"
"2018-04-01","715060","160.0","117.0"
"2018-04-01","620520","49.0","46.0"
"2018-04-01","694958","12.0","12.0"
"2018-04-02","741968","52.0","31.0"
"2018-04-02","745768","197.0","113.0"
"2018-04-02","733868","195.0","122.0"
"2018-04-02","659606","15.0","15.0"
"2018-04-02","736890","95.0","76.0"
"2018-04-02","650711","1.0","8.0"
"2018-04-02","728696","29.0","64.0"
"2018-04-02","722185","25.0","15.0"
"2018-04-02","749022","70.0","28.0"
"2018-04-03","625789","109.0","87.0"
"2018-04-03","724183","169.0","78.0"
"2018-04-03","727268","63.0","34.0"
"2018-04-03","711348","106.0","89.0"
"2018-04-03","734803","68.0","79.0"
"2018-04-03","717022","103.0","63.0"
"2018-04-03","655571","178.0","106.0"
"2018-04-03","727468","82.0","21.0"
"2018-04-03","690856","27.0","32.0"
"2018-04-03","622049","168.0","71.0"
"2018-04-03","722662","24.0","24.0"
"2018-04-03","741104","34.0","24.0"
"2018-04-04","729234","32.0","33.0"
"2018-04-04","622808","144.0","108.0"
"2018-04-04","706214","44.0","43.0"
"2018-04-04","609052","null","8.0"
"2018-04-04","735337","151.0","45.0"
"2018-04-04","745763","14.0","17.0"
"2018-04-05","728120","310.0","157.0"
"2018-04-05","728831","233.0","114.0"
"2018-04-05","737557","137.0","65.0"
"2018-04-05","733538","136.0","88.0"
"2018-04-05","733528","78.0","69.0"
"2018-04-05","634821","18.0","41.0"
"2018-04-05","751652","52.0","69.0"
"2018-04-05","710906","114.0","60.0"
"2018-04-05","610111","154.0","122.0"
"2018-04-06","686573","73.0","56.0"
"2018-04-06","704950","67.0","49.0"
"2018-04-06","703463","74.0","58.0"
"2018-04-06","711968","75.0","64.0"
"2018-04-06","727763","7.0","10.0"
"2018-04-06","674460","172.0","115.0"
"2018-04-06","710615","41.0","47.0"
"2018-04-06","642465","100.0","56.0"
"2018-04-06","743883","183.0","129.0"
"2018-04-06","628617","20.0","17.0"
"2018-04-06","637838","45.0","52.0"
"2018-04-06","681026","5.0","12.0"
"2018-04-06","706646","8.0","2.0"
"2018-04-07","679060","113.0","106.0"
"2018-04-07","722425","84.0","88.0"
"2018-04-07","728129","117.0","62.0"
"2018-04-07","729520","35.0","16.0"
"2018-04-07","721782","136.0","112.0"
"2018-04-07","639736","51.0","29.0"
"2018-04-07","749639","34.0","47.0"
"2018-04-07","726536","94.0","62.0"
"2018-04-07","731624","234.0","110.0"
"2018-04-07","725176","58.0","61.0"
"2018-04-07","716924","141.0","104.0"
"2018-04-07","726495","34.0","20.0"
"2018-04-07","683253","104.0","43.0"
"2018-04-07","735983","71.0","74.0"
"2018-04-07","705288","10.0","13.0"
"2018-04-07","728572","86.0","37.0"
"2018-04-07","724252","77.0","62.0"
"2018-04-07","695042","31.0","20.0"
"2018-04-04","736308","1.0","8.0"
"2018-04-07","738075","null","2.0"
"2018-04-04","720520","8.0","6.0"
"2018-04-01","719249","null","2.0"
"2018-04-03","687712","null","2.0"
"2018-04-05","689491","1.0","5.0"
"2018-04-02","654504","1.0","null"
"2018-04-01","726627","414.0","226.0"
"2018-04-01","709013","199.0","150.0"
"2018-04-01","626764","120.0","126.0"
"2018-04-01","721616","224.0","128.0"
"2018-04-01","717926","59.0","90.0"
"2018-04-01","738442","16.0","25.0"
"2018-04-02","738337","241.0","133.0"
"2018-04-02","678625","80.0","73.0"
"2018-04-02","736495","79.0","43.0"
"2018-04-02","637921","1.0","3.0"
"2018-04-02","700426","25.0","65.0"
"2018-04-02","735210","22.0","30.0"
"2018-04-02","611498","15.0","14.0"
"2018-04-02","718182","138.0","131.0"
"2018-04-02","726495","9.0","3.0"
"2018-04-02","738938","92.0","65.0"
"2018-04-02","639682","11.0","7.0"
"2018-04-02","708017","18.0","21.0"
"2018-04-02","720663","25.0","3.0"
"2018-04-02","649551","2.0","null"
"2018-04-03","749639","28.0","13.0"
"2018-04-03","750071","17.0","6.0"
"2018-04-03","744108","74.0","58.0"
"2018-04-03","666507","69.0","64.0"
"2018-04-03","622959","5.0","3.0"
"2018-04-03","727850","67.0","61.0"
"2018-04-03","728089","28.0","22.0"
"2018-04-03","724252","27.0","34.0"
"2018-04-03","747882","89.0","85.0"
"2018-04-03","741524","34.0","9.0"
"2018-04-03","714378","22.0","17.0"
"2018-04-03","723208","13.0","8.0"
"2018-04-04","704950","43.0","16.0"
"2018-04-04","657926","38.0","43.0"
"2018-04-04","724915","16.0","29.0"
"2018-04-04","669675","6.0","27.0"
"2018-04-04","730733","213.0","143.0"
"2018-04-04","659606","8.0","14.0"
"2018-04-04","688499","9.0","22.0"
"2018-04-04","609418","9.0","7.0"
"2018-04-05","744614","176.0","98.0"
"2018-04-05","644601","81.0","54.0"
"2018-04-05","638242","44.0","59.0"
"2018-04-05","727205","202.0","70.0"
"2018-04-05","710367","94.0","79.0"
"2018-04-05","732808","171.0","128.0"
"2018-04-05","637921","8.0","5.0"
"2018-04-05","731853","130.0","126.0"
"2018-04-05","713108","136.0","91.0"
"2018-04-05","745038","197.0","137.0"
"2018-04-05","644337","49.0","73.0"
"2018-04-06","737274","35.0","15.0"
"2018-04-06","700720","150.0","123.0"
"2018-04-06","696243","315.0","129.0"
"2018-04-06","692384","151.0","107.0"
"2018-04-06","721161","45.0","42.0"
"2018-04-06","606826","38.0","49.0"
"2018-04-06","743238","36.0","27.0"
"2018-04-06","708897","47.0","48.0"
"2018-04-06","685385","93.0","58.0"
"2018-04-06","658276","8.0","13.0"
"2018-04-06","721297","91.0","78.0"
"2018-04-06","653704","23.0","8.0"
"2018-04-07","655945","9.0","8.0"
"2018-04-07","662699","174.0","101.0"
"2018-04-07","708222","32.0","44.0"
"2018-04-07","721298","25.0","36.0"
"2018-04-07","648102","15.0","8.0"
"2018-04-07","642160","214.0","90.0"
"2018-04-07","717072","120.0","62.0"
"2018-04-02","712948","6.0","4.0"
"2018-04-07","608866","9.0","14.0"
"2018-04-04","682306","null","1.0"
"2018-04-01","741542","25.0","12.0"
"2018-04-01","700873","354.0","201.0"
"2018-04-01","653196","347.0","189.0"
"2018-04-01","744602","344.0","112.0"
"2018-04-01","575236","53.0","40.0"
"2018-04-01","702915","556.0","307.0"
"2018-04-01","624836","67.0","96.0"
"2018-04-01","737261","184.0","106.0"
"2018-04-01","745591","34.0","30.0"
"2018-04-02","727991","10.0","5.0"
"2018-04-02","637736","7.0","12.0"
"2018-04-02","735341","172.0","81.0"
"2018-04-02","640845","73.0","70.0"
"2018-04-02","636691","9.0","6.0"
"2018-04-03","716710","77.0","44.0"
"2018-04-03","702937","196.0","95.0"
"2018-04-03","700724","136.0","126.0"
"2018-04-03","743188","156.0","100.0"
"2018-04-03","614598","31.0","42.0"
"2018-04-03","722575","60.0","39.0"
"2018-04-03","622370","115.0","78.0"
"2018-04-03","707187","15.0","14.0"
"2018-04-03","659573","12.0","16.0"
"2018-04-03","697848","87.0","38.0"
"2018-04-03","734748","53.0","25.0"
"2018-04-03","732836","12.0","13.0"
"2018-04-03","643971","44.0","37.0"
"2018-04-03","681343","27.0","50.0"
"2018-04-03","733467","37.0","27.0"
"2018-04-03","718219","10.0","17.0"
"2018-04-03","752519","37.0","27.0"
"2018-04-04","739457","181.0","111.0"
"2018-04-04","710533","71.0","59.0"
"2018-04-04","722243","60.0","39.0"
"2018-04-04","716466","173.0","76.0"
"2018-04-04","686688","107.0","93.0"
"2018-04-04","641670","46.0","26.0"
"2018-04-04","739095","127.0","79.0"
"2018-04-04","685246","21.0","20.0"
"2018-04-04","637848","23.0","14.0"
"2018-04-04","670633","24.0","33.0"
"2018-04-04","629889","27.0","16.0"
"2018-04-04","646933","12.0","1.0"
"2018-04-04","635826","9.0","7.0"
"2018-04-04","657928","12.0","null"
"2018-04-05","710849","108.0","63.0"
"2018-04-05","660392","117.0","67.0"
"2018-04-05","700500","186.0","111.0"
"2018-04-05","717119","8.0","10.0"
"2018-04-05","729691","147.0","136.0"
"2018-04-05","669121","120.0","54.0"
"2018-04-05","607502","134.0","115.0"
"2018-04-05","637914","18.0","20.0"
"2018-04-05","719316","30.0","34.0"
"2018-04-05","658587","12.0","12.0"
"2018-04-05","674067","89.0","83.0"
"2018-04-05","722309","82.0","49.0"
"2018-04-05","721606","79.0","56.0"
"2018-04-06","689941","43.0","54.0"
"2018-04-06","736008","176.0","101.0"
"2018-04-06","726655","312.0","149.0"
"2018-04-06","714566","161.0","83.0"
"2018-04-06","741861","89.0","67.0"
"2018-04-06","700724","166.0","141.0"
"2018-04-06","726627","346.0","185.0"
"2018-04-06","689123","70.0","69.0"
"2018-04-06","707189","27.0","25.0"
"2018-04-06","658157","39.0","32.0"
"2018-04-06","712784","184.0","135.0"
"2018-04-06","708046","66.0","39.0"
"2018-04-06","735977","238.0","123.0"
"2018-04-06","722185","36.0","26.0"
"2018-04-06","747014","99.0","114.0"
"2018-04-06","722383","33.0","17.0"
"2018-04-06","686422","88.0","69.0"
"2018-04-06","743743","112.0","56.0"
"2018-04-07","608424","33.0","74.0"
"2018-04-07","663445","34.0","48.0"
"2018-04-07","579235","72.0","62.0"
"2018-04-07","692443","126.0","121.0"
"2018-04-07","674856","110.0","82.0"
"2018-04-07","734837","28.0","33.0"
"2018-04-07","700426","68.0","50.0"
"2018-04-07","739243","160.0","112.0"
"2018-04-07","740889","73.0","50.0"
"2018-04-07","679253","70.0","106.0"
"2018-04-07","615331","62.0","41.0"
"2018-04-07","576853","84.0","68.0"
"2018-04-07","749560","41.0","51.0"
"2018-04-03","664537","5.0","4.0"
"2018-04-04","709039","4.0","3.0"
"2018-04-01","602419","378.0","228.0"
"2018-04-01","751021","303.0","200.0"
"2018-04-01","692491","212.0","213.0"
"2018-04-01","685536","158.0","94.0"
"2018-04-01","725176","398.0","292.0"
"2018-04-01","745480","289.0","208.0"
"2018-04-01","617408","239.0","190.0"
"2018-04-01","724918","28.0","18.0"
"2018-04-01","700714","177.0","132.0"
"2018-04-01","732426","251.0","209.0"
"2018-04-01","680082","277.0","210.0"
"2018-04-01","686625","45.0","73.0"
"2018-04-01","706656","159.0","140.0"
"2018-04-01","666778","23.0","36.0"
"2018-04-01","614599","18.0","25.0"
"2018-04-01","618099","32.0","23.0"
"2018-04-01","638575","35.0","39.0"
"2018-04-01","637833","73.0","77.0"
"2018-04-02","692485","136.0","103.0"
"2018-04-02","741341","71.0","34.0"
"2018-04-02","685840","124.0","80.0"
