"log_dt","shop_no","position","clk_cnt"
"2018-04-01","744861","0","1"
"2018-04-01","707408","4","1"
"2018-04-01","739030","1","8"
"2018-04-01","730400","2","3"
"2018-04-01","644976","2","7"
"2018-04-01","704937","4","3"
"2018-04-01","715557","0","3"
"2018-04-01","609506","0","2"
"2018-04-02","737652","0","1"
"2018-04-02","739474","4","3"
"2018-04-03","703206","2","1"
"2018-04-04","692050","2","1"
"2018-04-04","677753","4","1"
"2018-04-04","741858","0","1"
"2018-04-05","716226","4","1"
"2018-04-05","700426","2","4"
"2018-04-05","738314","3","1"
"2018-04-05","730456","3","2"
"2018-04-06","661431","1","1"
"2018-04-06","670464","1","4"
"2018-04-06","633405","3","2"
"2018-04-06","723160","4","4"
"2018-04-07","700500","3","1"
"2018-04-07","748227","1","1"
"2018-04-07","646904","1","3"
"2018-04-07","615332","0","2"
"2018-04-07","727468","0","4"
"2018-04-07","726463","2","3"
"2018-04-07","733571","0","1"
"2018-04-07","744614","1","2"
"2018-04-06","744115","0","1"
"2018-04-01","744602","2","8"
"2018-04-06","727974","1","2"
"2018-04-06","702414","0","1"
"2018-04-06","746057","1","2"
"2018-04-06","610304","2","2"
"2018-04-04","743549","1","2"
"2018-04-05","722379","2","1"
"2018-04-02","728523","0","2"
"2018-04-07","737915","0","2"
"2018-04-01","721587","4","4"
"2018-04-01","644147","1","1"
"2018-04-01","653484","1","2"
"2018-04-01","693673","1","5"
"2018-04-01","740549","0","2"
"2018-04-01","598971","1","1"
"2018-04-01","741059","1","1"
"2018-04-01","658282","1","3"
"2018-04-01","721393","0","2"
"2018-04-02","727842","1","2"
"2018-04-02","701575","0","2"
"2018-04-02","574848","2","1"
"2018-04-01","668086","3","1"
"2018-04-02","670543","1","1"
"2018-04-02","702602","2","1"
"2018-04-02","685310","1","2"
"2018-04-02","744303","0","4"
"2018-04-03","684782","3","1"
"2018-04-03","735544","4","1"
"2018-04-03","700714","4","1"
"2018-04-04","736821","4","1"
"2018-04-04","581961","0","1"
"2018-04-03","731206","0","2"
"2018-04-05","737724","0","1"
"2018-04-05","648465","4","1"
"2018-04-05","702548","1","1"
"2018-04-04","738920","2","3"
"2018-04-05","733472","0","1"
"2018-04-05","750143","4","1"
"2018-04-05","656685","0","1"
"2018-04-05","680026","3","1"
"2018-04-02","688417","4","1"
"2018-04-02","684513","4","1"
"2018-04-05","717930","2","2"
"2018-04-03","743130","2","1"
"2018-04-05","599694","2","2"
"2018-04-03","677753","3","1"
"2018-04-03","689277","1","1"
"2018-04-04","734904","2","2"
"2018-04-04","726732","3","1"
"2018-04-05","739636","2","2"
"2018-04-05","710533","0","1"
"2018-04-05","743291","4","3"
"2018-04-05","677265","2","3"
"2018-04-05","660052","1","1"
"2018-04-05","682000","4","1"
"2018-04-04","736077","2","1"
"2018-04-05","679075","2","1"
"2018-04-05","744068","3","2"
"2018-04-06","718831","3","2"
"2018-04-06","703277","3","4"
"2018-04-05","694468","1","1"
"2018-04-06","616575","0","4"
"2018-04-05","661431","1","1"
"2018-04-06","734351","4","1"
"2018-04-06","738828","1","1"
"2018-04-06","639103","3","4"
"2018-04-06","736273","3","1"
"2018-04-06","728524","1","1"
"2018-04-06","739458","1","1"
"2018-04-05","727288","3","1"
"2018-04-06","729003","0","2"
"2018-04-06","650715","4","1"
"2018-04-06","618446","3","3"
"2018-04-06","731048","3","1"
"2018-04-06","711720","2","2"
"2018-04-07","725092","4","1"
"2018-04-07","686625","0","1"
"2018-04-07","740695","3","2"
"2018-04-07","727228","2","2"
"2018-04-07","636872","2","2"
"2018-04-07","609818","1","1"
"2018-04-07","650711","0","2"
"2018-04-07","734056","0","1"
"2018-04-07","715060","2","1"
"2018-04-07","743691","3","2"
"2018-04-07","751105","0","2"
"2018-04-07","720663","1","1"
"2018-04-03","732018","4","1"
"2018-04-07","716960","1","2"
"2018-04-07","729577","0","3"
"2018-04-07","724633","0","1"
"2018-04-07","708469","2","1"
"2018-04-02","749039","0","1"
"2018-04-01","702902","4","1"
"2018-04-01","675884","2","2"
"2018-04-06","617862","4","1"
"2018-04-06","634173","2","1"
"2018-04-01","735915","2","1"
"2018-04-04","574777","2","1"
"2018-04-01","643911","1","1"
"2018-04-04","718182","0","1"
"2018-04-02","567009","2","1"
"2018-04-03","634580","1","1"
"2018-04-03","701953","2","1"
"2018-04-06","674038","1","1"
"2018-04-01","708941","0","1"
"2018-04-05","733765","1","2"
"2018-04-05","662699","4","1"
"2018-04-05","733617","2","1"
"2018-04-05","721941","2","1"
"2018-04-05","610405","0","1"
"2018-04-04","736839","0","1"
"2018-04-01","623925","2","1"
"2018-04-07","743821","3","1"
"2018-04-05","732669","0","1"
"2018-04-04","724957","4","1"
"2018-04-02","736890","0","1"
"2018-04-04","722273","3","1"
"2018-04-06","688499","1","1"
"2018-04-01","648226","1","1"
"2018-04-01","739609","1","1"
"2018-04-01","656402","3","1"
"2018-04-01","708046","3","1"
"2018-04-01","655822","1","2"
"2018-04-01","646903","1","3"
"2018-04-01","737557","0","3"
"2018-04-01","712488","0","8"
"2018-04-01","702915","2","4"
"2018-04-02","606324","2","4"
"2018-04-02","575322","0","1"
"2018-04-02","615727","0","4"
"2018-04-04","717124","0","2"
"2018-04-04","719937","1","5"
"2018-04-05","665387","0","3"
"2018-04-05","708347","1","1"
"2018-04-05","731527","1","1"
"2018-04-05","611334","2","2"
"2018-04-05","745034","0","1"
"2018-04-05","729494","3","2"
"2018-04-06","742040","2","1"
"2018-04-06","640266","4","2"
"2018-04-06","615756","4","3"
"2018-04-07","619856","0","1"
"2018-04-07","616583","2","3"
"2018-04-07","646316","1","3"
"2018-04-07","635789","4","1"
"2018-04-07","614759","4","6"
"2018-04-07","725917","3","1"
"2018-04-07","576845","1","2"
"2018-04-07","677265","0","2"
"2018-04-03","741647","1","1"
"2018-04-01","681290","2","1"
"2018-04-06","729577","2","4"
"2018-04-07","615756","1","3"
"2018-04-05","588301","0","2"
"2018-04-01","604556","4","1"
"2018-04-04","743165","0","3"
"2018-04-06","695386","2","1"
"2018-04-03","737557","4","1"
"2018-04-07","726778","3","2"
"2018-04-04","710533","2","2"
"2018-04-07","589773","2","1"
"2018-04-01","563771","0","2"
"2018-04-01","741811","4","3"
"2018-04-01","743883","0","1"
"2018-04-01","660239","3","1"
"2018-04-01","745038","2","2"
"2018-04-01","594404","1","1"
"2018-04-01","624263","3","2"
"2018-04-01","706655","3","1"
"2018-04-01","611902","2","1"
"2018-04-01","737869","3","2"
"2018-04-01","642469","1","3"
"2018-04-01","606826","0","1"
"2018-04-02","690295","4","1"
"2018-04-02","653484","0","2"
"2018-04-01","707099","1","2"
"2018-04-02","694218","3","1"
"2018-04-02","724608","4","1"
"2018-04-02","718067","3","2"
