"shop_no","rgn2_nm","content"
"575237","강남구","디저트,커피, 디저트·커피, 달콤, 음료판매, 해쨍쨍, 집에서데이트, 비쥬얼, 밀푀유, 일본느낌, 여자들끼리, 브런치, 당근케이크, 간식, 혼디, 동아리방, 시로이쇼트, 가벼운식사, 연인끼리, 입소문난, 시카고초코, 촉촉, 빵덕후, 봄, 아이와어른함께, 고퀄리티, 캠퍼스안, 까페, 세젤맛, 빵집, 과방"
"613248","강서구","한식, 비오는날, 밥집, 매콤, 점심, 저녁, 집에서데이트, 내방, 가족식탁용, 진한국물, 중독성쩔어, 스페셜부대찌개, 부담없는, 얼큰, 매운음식덕후, 8090, 따끈한, 사리넣으면맛있는, 돈돌부대찌개, 푸짐한, 숨겨진맛집, 집밥, 숙취해소, 버섯부대찌개, 갓집밥"
"616996","양천구","한식, 사무실, 비오는날, 밥집, 국밥성애자, 점심, 들깨굴떡국, 저녁, 내방, 가족식탁용, 굴국밥, 굴양념밥, 제육덮밥, 진한국물, 가정식, 부담없는, 들깨굴국밥, 굴떡국, 힐링푸드, 정갈한, 남자들끼리, 따끈한, 퇴근후, 건강해지는느낌, 과방, 보양식, 밥말아먹기좋은, 담백"
"632641","서초구","디저트·커피, 패밀리, 주말, 달콤, 음료판매, 친구들이랑, 부드러운, 집에서데이트, 해쨍쨍, 프랜차이즈, 입에서순삭, 하프갤론, 아이스크림, 간식, 혼디, 동아리방, 카페, 상큼, 아이스크림케익, 시원한, 폭염, 쿼터, 부담없는, 세젤맛, 버라이어티팩, 쫀득, 야구장, 파인트, 취향저격"
"641984","관악구","고기, 한식, 음료판매, 한우국밥, 회식, 저녁, 부드러운, 나들이, 육즙이흐르는, 안주로딱좋은, 정통한식, 갈비탕, 폭식하는날, 푸짐한, 설렁탕, 사무실, 레알인정, 도가니탕, 비오는날, 고기성애자, 헤비한메뉴, 사시사철, 점심, 소뼈해장국, 가족식탁용, 가성비갑, 부담없는, 소고기국밥, 24시간영업, 불맛"
"642919","강남구","아시안, 한강공원, 밥집, 파인애플볶음밥, 점심, 저녁, 내방, 나시고랭, 가족식탁용, 맑은국물, 외국친구들이랑, 진한국물, 또먹고싶다, 부담없는, 특이한메뉴, 힐링푸드, 여자들끼리, 정갈한, 찬바람쌩쌩, 재료가신선한, 저칼로리, 점심에붐비는, 짭짤한, 이색맛집, 맛점, 사무실, 연인끼리"
"682027","영등포구","분식, 한끼식사되는, 쌀덕후, 패스트푸드, 쏘야밥버거, 부드러운, 집에서데이트, 프랜차이즈, 특이한메뉴, 착한가격, 햄치즈밥버거, 혼밥, 아점, 간식, 동아리방, 봉구스밥버거, 가벼운식사, 치즈떡갈비밥버거, 제육밥버거, 치즈제육밥버거, 밥집, 건강빵, 사시사철, 점심, 짱맛, 가성비갑, 캠퍼스안, 힐링푸드, 통살돈까스밥버거, 꿀조합, 간편하게먹기, 과방, 런치세트"
"683516","강동구","일식·회, 아시안, 수제함바그카레라이스, 바삭바삭, 덮밥덕후, 친구들이랑, 돈까스, 규동, 입소문난, 점심, 저녁, 이국적, 촉촉, 사시사철, 세트메뉴가있는, 프랜차이즈, 내방, 웨이팅긴곳, 속이든든한, 중독성쩔어, 가라아게마요동, 풍미가깊은, 따끈한, 카레, 송파주민인정, 기름진, 사무실, 연인끼리"
"688297","광진구","분식, 한끼식사되는, 마늘떡볶이, 친구들이랑, 매콤, 쌀덕후, 저녁, 부드러운, 내방, 떡볶이, 입에서순삭, 분식, 여자들끼리, 착한가격, 혼밥, 간식, 푸짐한, 밀가루덕후, 매콤제육김밥, 사무실, 맛점, 빨리먹을수있는, 회사동료랑, 와사비참치김밥, 점심, 김밥, 넛트멸치김밥, 부담없는, 꿀조합, 간편하게먹기, 더블치즈김밥, 단골폭발, 퇴근후, 쫄깃쫄깃, 야식, 맛있으면0칼로리, 찰순대, 담백"
"700945","강남구","고기, 한강공원, 저녁, 프랜차이즈, 육즙이흐르는, 안주로딱좋은, 소곱창, TV맛집, 소대창, 안주가맛있는, 착한가격, 사무실, 쌀쌀할때, 겨울, 곱창모듬, 헤비한메뉴, 주당, 스트레스풀자, 재료가신선한, 따끈한, 밥볶아먹기좋은, 퇴근후, 야식, 맛있으면0칼로리, 소막창, 고소한, 연중무휴, 포차, 담백"
"704011","강동구","디저트·커피, NEW, 샌드위치, 아메리카노"
"713980","성남시 분당구","분식, 한식, 칼국수, 면덕후, 만두"
"715594","성남시 분당구","디저트·커피, 아이스크림, 와플, 디저트홀릭"
"724416","고양시 일산동구","null"
"725110","강남구","아시안, 회사동료랑, 비오는날, 여름, 찹쌀탕수육, 헤비한메뉴, 속이풀리는, 점심, 깔끔, 짬뽕, 얼큰, 매운음식덕후, 국물덕후, 점심에붐비는, 입맛없을때, 튀김덕후, 불맛, 숨겨진맛집"
"726203","중구","디저트·커피, 와플, 아메리카노"
"729868","부평구","아시안, 썸남썸녀랑, 매콤, 입소문난, 저녁, 램티카, 이국적, 넌베지탈리세트, 커리, 비쥬얼, 밥한공기뚝딱, 홈메이드, 풍미가깊은, 히말리난, 착한가격, 혼밥, 인도음식, 버터치킨마카니, 탄두리치킨, 토핑이다양한, 카페전문, 맛점, 연인끼리"
